XCOORD;YCOORD;TYPEOFOBSTACLE;BEMERKUNG
2745384.5;1247306.5;Kraftwerk;unsicher
2742139.8;1252478.8;Kraftwerk;unsicher
2689419.3;1153430.0;Elektrizitätswerk;keineInfo
2707830.4;1144025.9;Elektrizitätswerk;keineInfo
2584875;1205847;Kraftwerk;keineInfo
2587376;1209654;Kraftwerk;keineInfo
2579980;1212707;MündungBielersee;keineInfo
2586233;1218665;Kraftwerk;keineInfo
2611469;1230908;Kraftwerk;keineInfo
2622270;1230963;Kraftwerk;keineInfo
2626281;1233975;Kraftwerk;keineInfo
2633181;1240200;Kraftwerk;keineInfo
2640848;1246587;Kraftwerk;keineInfo
2643356;1248382;Stauwehr;BedingterGeschiebeDurchlass
2645087;1249505;Kraftwerk;keineInfo
2646238;1250020;Kraftwerk;keineInfo
2651012;1251402;Kraftwerk;keineInfo
2654671;1255869;Kraftwerk;BedingterGeschiebeDurchlass
2654727;1257323;Kraftwerk;keineInfo
2655129;1257811;Kraftwerk;keineInfo
2656858;1259067;Schwelle;keineInfo
2659294;1266878;Kraftwerk;BedingterGeschiebeDurchlass
2660103;1267767;Kraftwerk;keineInfo
2659122;1271806;Kraftwerk;keineInfo
2795770;1165893;Kraftwerk;keineInfo
2820582;1187807;Kraftwerk;keineInfo
2831477;1199335;Kraftwerk;keineInfo
2575059;1174129;Staumauer;keineInfo
2581334;1192436;Staumauer;keineInfo
2588302;1202001;Kraftwerk;keineInfo
2621487;1205150;Kraftwerk;GeschiebeDurchlass
2619280;1205779;Kraftwerk;GeschiebeDurchlass
2607353;1218886;Kraftwerk;GeschiebeDurchlass
2608000;1220233;Kraftwerk;GeschiebeDurchlass
2608150;1221657;Kraftwerk;GeschiebeDurchlass
2608048;1222771;Kraftwerk;GeschiebeDurchlass
2609890;1225845;Kraftwerk;GeschiebeDurchlass
2610920;1227108;Kraftwerk;GeschiebeDurchlass
2610649;1228180;Kraftwerk;GeschiebeDurchlass
2610310;1229255;Kraftwerk;GeschiebeDurchlass
2682580;1249037;Kraftwerk;keineInfo
2679607;1250346;Schwelle;keineInfo
2679100;1250595;Kraftwerk;keineInfo
2673233;1251110;Kraftwerk;keineInfo
2673157;1251506;Kraftwerk;keineInfo
2666551;1256582;Kraftwerk;keineGeschiebeDurchlass
2665586;1257867;Kraftwerk;keineInfo
2665759;1258093;Kraftwerk;keineInfo
2664392;1259687;Kraftwerk;keineGeschiebeDurchlass
2662646;1259949;Kraftwerk;keineInfo
2662270;1260086;Kraftwerk;keineInfo
2661438;1260910;Kraftwerk;keineInfo
2660527;1260894;Schwelle;keineInfo
2660416;1261126;Kraftwerk;keineInfo
2660399;1261635;Kraftwerk;keineInfo
2687991.821;1167211.907;Schwelle;keineInfo
2689400.532;1174100.427;Schwelle;keineInfo
2689431.421;1174113.322;Schwelle;keineInfo
2692027.020;1178269.421;Schwelle;keineInfo
2693746.619;1181615.680;Schwelle;keineInfo
2665617.797;1211562.658;Schwelle;keineInfo
2666523.979;1214870.440;Schwelle;keineInfo
2672823.044;1236356.950;Schwelle;keineInfo
2668138.587;1245398.336;Schwelle;keineInfo
2666985.314;1246683.214;Schwelle;keineInfo
2666914.458;1246744.085;Schwelle;keineInfo
2666884.119;1246853.729;Schwelle;keineInfo
2663243.118;1213768.040;Schwelle;keineInfo
2662215.048;1212536.281;Schwelle;keineInfo
2662195.980;1212510.887;Schwelle;keineInfo
2662131.202;1212429.892;Schwelle;keineInfo
2662118.193;1212417.507;Schwelle;keineInfo
2661911.831;1211772.758;Schwelle;keineInfo
2661706.416;1211306.403;Schwelle;keineInfo
2659879.648;1210811.084;Schwelle;keineInfo
2657546.012;1210450.540;Schwelle;keineInfo
2657257.996;1210456.504;Schwelle;keineInfo
2656975.246;1210455.616;Schwelle;keineInfo
2656676.951;1210472.875;Schwelle;keineInfo
2655963.224;1210457.964;Schwelle;keineInfo
2655918.171;1210448.827;Schwelle;keineInfo
2655655.124;1210260.813;Schwelle;keineInfo
2655189.744;1209949.302;Schwelle;keineInfo
2650546.349;1211813.983;Schwelle;keineInfo
2650241.972;1211812.479;Schwelle;keineInfo
2649399.269;1211615.447;Schwelle;keineInfo
2648675.399;1211642.845;Schwelle;keineInfo
2648559.771;1211704.763;Schwelle;keineInfo
2648290.685;1211937.627;Schwelle;keineInfo
2648151.310;1212033.089;Schwelle;keineInfo
2648023.882;1212061.543;Schwelle;keineInfo
2647886.478;1211995.089;Schwelle;keineInfo
2647889.742;1211842.656;Schwelle;keineInfo
2647899.534;1211790.306;Schwelle;keineInfo
2647900.397;1211642.431;Schwelle;keineInfo
2647864.737;1211551.526;Schwelle;keineInfo
2647880.627;1209959.453;Schwelle;keineInfo
2647839.362;1209779.921;Schwelle;keineInfo
2647854.143;1209523.896;Schwelle;keineInfo
2644086.162;1201084.781;Schwelle;keineInfo
2643503.652;1200019.221;Schwelle;keineInfo
2643263.429;1199616.769;Schwelle;keineInfo
2643229.344;1199444.249;Schwelle;keineInfo
2643228.878;1199389.164;Schwelle;keineInfo
2643230.554;1199261.392;Schwelle;keineInfo
2643240.333;1198842.549;Schwelle;keineInfo
2643242.964;1198749.654;Schwelle;keineInfo
2643261.822;1198651.544;Schwelle;keineInfo
2674480.544;1203370.709;Schwelle;keineInfo
2672398.839;1200422.446;Schwelle;keineInfo
2689695.201;1207309.921;Schwelle;keineInfo
2691989.982;1205996.890;Schwelle;keineInfo
2694946.831;1205313.567;Schwelle;keineInfo
2702657.276;1203121.371;Schwelle;keineInfo
2702685.987;1203112.317;Schwelle;keineInfo
2702714.543;1203104.036;Schwelle;keineInfo
2702743.177;1203095.291;Schwelle;keineInfo
2702764.614;1203089.410;Schwelle;keineInfo
2614130;1267644;Kraftwerk;Schleuse
2620412;1265140;Kraftwerk;Schleuse
2628170;1268744;Kraftwerk;Flachwasserzonen und Kiesbänke angelegt
2629700;1270694;Kraftwerk;
2639001;1267584;Kraftwerk;
2645929;1267408;Kraftwerk;
2652229;1270794;Kraftwerk;
2655130;1272146;Kraftwerk;Kiesbänke angelegt
2667680;1269301;Kraftwerk;
2677849;1269867;Kraftwerk;
2687400;1277118;Kraftwerk;
2688332;1281679;Kraftwerk;Rheinfall, unsicher
2689470;1283175;Kraftwerk;
2752260;1188995;Kraftwerk;
2613788;1263887;Kraftwerk;unsicher
2612718;1259816;Kraftwerk;
2611681;1254677;Kraftwerk;
2610750;1254226;Kraftwerk;
2608240;1254789;Kraftwerk;
2606440;1253960;Kraftwerk;ausser Betrieb
2604721;1252092;Kraftwerk;
2604117;1251074;Kraftwerk;
2594124;1247810;Kraftwerk;unsicher
2745771;1186627;Kraftwerk;betrifft Hauptlauf nicht
2728319;1181377;Kraftwerk;unsicher
2711610;1175379;Kraftwerk;betrifft Hauptlauf nicht
2751189;1181182;Kraftwerk;unsicher,betrifft Hauptlauf nicht?
2753301;1172944;Kraftwerk;unsicher
2686480;1264847;Kraftwerk;
2690550;1264108;Kraftwerk;
2693029;1263748;Kraftwerk;unsicher
2699334;1258092;Kraftwerk;betrifft Hauptlauf nicht
2700298;1257342;Kraftwerk;betrifft Hauptlauf nicht
2641125.7;1165049.6;Kraftwerk;BedingterGeschiebeDurchlass
2614340.6;1169264.0;Kraftwerk;keineInfo
2595606.9;1159649.8;Kraftwerk;keineInfo
2597542.5;1150183.7;Kraftwerk;keineInfo
2618137.1;1150462.9;Kraftwerk;GeschiebeDurchlass
2631248.3;1170148.5;Kraftwerk;keineInfo
2600950.0;1199390.7;Kraftwerk;GeschiebeDurchlass
2600483.4;1201598.5;Kraftwerk;BedingterGeschiebeDurchlass
2635142.5;1171185.2;MündungBrienzersee (Lütschine)
2646539.4;1176983.5;MündungBrienzersee (Hasliaare)
2629749.3;1168457.3;MündungThunersee (Brienzersee)
2615645.0;1174270.8;MündungThunersee (Kander)
2598456.7;1202251.7;MündungWohlensee
2499402;1117832;Staudamm;Seujet;
2491153;1116698;Kraftwerk;Verbois;
2487036;1113165;Kraftwerk;Chancy-Pougny;
2685205;1157507;Speicherkraftwerk;LagodiLucendro_Gotthardpass
2679016;1160046;Realp
2688194;1166648;Andermatt
2681029;1166587;Staudamm;Göscheneralpsee
2685723;1196060;Staubecken;Isenthal
2689608;1174398;Laufkraftwerk;Wassen
2688599;1188346;Alpensee;Waldnachtersee
2706967;1197473;Stauwehr;Ruosalp_Muota
2693870;1205167;Stauwehr;Schlattli_Muota
2665636;1211513;Laufkraftwerk;Mühlenplatz_Luzern
2665599;1214156;Laufkraftwerk;Rathausen
2655189;1209948;Ettisbühl
2669089;1217394;Laufkraftwerk;Perlen
2668555;1244017;Laufkraftwerk;Bremgarten_Zufikon
2668097;1244745;Laufkraftwerk;Bremgarten_Bruggmühle
2659468;1259234;Ausleitungskraftwerk;Windisch
2784933;1152445;Seeauslauf;St.Moritzersee
