GID;FROM;TO
276;11855;13298
276;23165;24476
276;34739;35489
277;7683;8081
277;8951;9259
277;11341;11874
269;8511;8678
79;6673;9677
79;11495;11645
274;9107;9242
264;10704;10944
324;184;5410
324;6826;7025
323;4398;4607
323;5918;8211
323;12233;12432
323;13496;13709
323;14557;14760
323;15720;15922
323;16994;17199
323;19296;19502
323;20090;20286
323;22712;22908
323;24649;24955
325;10384;10601
228;850;3272
43;1245;1255
43;3035;5527
387;1706;5250
388;0;10595
52;0;4103
392;0;4491
393;0;3591
394;0;5152
13;0;7160
391;0;4594
390;0;6563
389;0;3442
389;5616;9778
395;0;4787
35;0;6947
141;137;2246
141;2944;3145
141;3510;4302
361;0;735
361;1622;4649
362;0;1270
362;2645;3487
362;5644;7258
169;0;540
169;1646;6839
105;6579;6649
54;0;1699
54;2026;4572
54;5129;5352
54;5434;5855
54;6277;6484
54;7439;7838
54;8187;8675
19;97;303
19;467;667
19;1016;1220
25;0;1672
25;2315;2512
25;3489;3688
25;4210;4874
132;0;4995
279;4005;4207
279;4533;4737
280;3464;3665
280;6016;6293
281;8147;8350
281;8994;9399
290;1674;1876
290;3867;4322
290;9365;9645
291;2484;2728
291;6565;6776
291;7788;7985
291;8804;9055
292;0;4873
293;0;5441
294;0;1538
294;2410;2969
294;4690;6459
294;9844;9949
298;103;427
298;5484;5723
298;10552;10771
299;7615;7988
326;0;7809
328;0;3495
329;0;15573
330;0;13036
331;0;2058
335;10788;10999
335;20716;20926
335;23350;23591
335;24959;25182
337;7766;8069
337;19215;19514
339;6154;6393
339;19111;19416
339;26408;26657
339;40537;40854
339;43717;44024
339;60712;60925
342;511;726
342;1218;1596
342;2153;2350
342;3881;4328
342;7232;7435
343;31;327
343;1926;2129
343;2755;2970
343;3316;3518
343;4440;4996
343;5728;5928
343;7362;7564
343;9566;9771
344;1696;1895
344;2765;2964
344;3296;3492
344;4946;5613
344;7617;8181
344;9570;10955
344;11520;11770
344;13104;13307
344;13973;14190
344;14950;17931
104;0;133
104;5442;5514
217;1037;1076
209;8926;8952
216;0;36
216;250;326
216;1204;1308
216;2013;2166
216;2453;2568
216;3358;3421
216;5692;5761
216;7000;7071
216;8099;10231
216;11540;11614
216;12256;12334
216;13194;13510
210;5565;5608
210;6839;6918
212;1484;1606
212;3173;3344
212;3632;3696
214;1002;1187
215;4517;4798
4;1269;1359
398;0;993
399;0;252
225;3506;3932
225;7324;7505
225;30549;30889
221;2505;2605
401;0;860
403;0;785
402;0;850
